At 1 training step | The loss is 10.982296 | Time taken for this step is 1.8193 seconds | Token per second: 9005.52 | Norm: 26.36 | lr: 0.000015
At 2 training step | The loss is 9.865479 | Time taken for this step is 0.1592 seconds | Token per second: 102927.40 | Norm: 16.89 | lr: 0.000030
At 3 training step | The loss is 9.432597 | Time taken for this step is 0.1871 seconds | Token per second: 87559.25 | Norm: 8.63 | lr: 0.000045
At 4 training step | The loss is 9.341301 | Time taken for this step is 0.1893 seconds | Token per second: 86565.25 | Norm: 9.78 | lr: 0.000060
At 5 training step | The loss is 8.981341 | Time taken for this step is 0.1874 seconds | Token per second: 87449.16 | Norm: 3.44 | lr: 0.000075
At 6 training step | The loss is 9.039149 | Time taken for this step is 0.1860 seconds | Token per second: 88062.72 | Norm: 4.97 | lr: 0.000090
At 7 training step | The loss is 9.111914 | Time taken for this step is 0.1829 seconds | Token per second: 89562.45 | Norm: 4.62 | lr: 0.000105
At 8 training step | The loss is 8.970730 | Time taken for this step is 0.1903 seconds | Token per second: 86117.76 | Norm: 3.58 | lr: 0.000120
At 9 training step | The loss is 8.705071 | Time taken for this step is 0.1869 seconds | Token per second: 87656.87 | Norm: 2.48 | lr: 0.000135
At 10 training step | The loss is 8.547749 | Time taken for this step is 0.1848 seconds | Token per second: 88674.41 | Norm: 2.77 | lr: 0.000150
At 11 training step | The loss is 8.361904 | Time taken for this step is 0.1864 seconds | Token per second: 87877.69 | Norm: 3.03 | lr: 0.000165
At 12 training step | The loss is 8.244936 | Time taken for this step is 0.1703 seconds | Token per second: 96180.30 | Norm: 2.06 | lr: 0.000180
At 13 training step | The loss is 8.085735 | Time taken for this step is 0.2011 seconds | Token per second: 81481.81 | Norm: 3.94 | lr: 0.000195
At 14 training step | The loss is 8.009281 | Time taken for this step is 0.2290 seconds | Token per second: 71551.11 | Norm: 1.99 | lr: 0.000210
At 15 training step | The loss is 7.922556 | Time taken for this step is 0.2356 seconds | Token per second: 69541.03 | Norm: 2.36 | lr: 0.000225
At 16 training step | The loss is 7.655572 | Time taken for this step is 0.2398 seconds | Token per second: 68314.51 | Norm: 2.18 | lr: 0.000240
At 17 training step | The loss is 7.497764 | Time taken for this step is 0.1936 seconds | Token per second: 84621.98 | Norm: 1.66 | lr: 0.000255
At 18 training step | The loss is 7.352670 | Time taken for this step is 0.1888 seconds | Token per second: 86785.86 | Norm: 1.44 | lr: 0.000270
At 19 training step | The loss is 7.193218 | Time taken for this step is 0.1820 seconds | Token per second: 90003.51 | Norm: 1.70 | lr: 0.000285
At 20 training step | The loss is 6.875343 | Time taken for this step is 0.1869 seconds | Token per second: 87672.86 | Norm: 1.55 | lr: 0.000300
